Nombre llave;URL;param;funcion
AFLUENTES_EMBALSES;/api/v2/recursos/afluentes_de_embalses;fecha;afluentes
AGUA_CAIDA;/api/v2/recursos/agua_caida;fecha;aguaCaida
BALANCE_SSCC;/api/v2/recursos/balance_servicios_complementarios;mes;balanceSSCC
CAPACIDAD_DISPONIBLE_SISTEMA_DEDICADO;/api/v2/recursos/capacidad_disponible_sistema_dedicado;año;default
CARGOS_POR_USO_LOS_SISTEMAS_TRANSMISION;/api/v2/recursos/cargos_uso_sistemas_de_transmision;mes;default
CONTRATOS_SUMINISTRO_VIGENTES;/api/v2/recursos/contratos_de_suministro_vigentes;suministrador_mnemotecnico;default
TABLA_NOMBRES_CONTRATOS;/api/v2/recursos/contratos_de_suministro_vigentes_nombres;cliente_mnemotecnico;default
CONTROL_FRECUENCIA;/api/v2/recursos/control_de_frecuencia;mes;default
CONTROL_TENSION;/api/v2/recursos/control_de_tension;mes;default
COSTO_MARGINAL_PROGRAMADO;/api/v2/recursos/costo_marginal_programado;fecha;cmgProg
CMGP_LLAVES;/api/v2/recursos/costo_marginal_llaves;llave_id;cmgKey
COSTOS_MARGINALES_REALES;/api/v2/recursos/costos_marginales_reales;fecha;cmgReal
COSTOS_MARGINALES_ESPERADOS;/api/v2/recursos/costos_marginales_esperados;mes;cmgEsperado
COSTOS_POR_SERVICIOS_COMPLEMENTARIOS;/api/v2/recursos/costos_servicios_complementarios;mes;default
COSTOS_STOCK_COMBUSTIBLES;api/v2/recursos/costos_stock_combustibles;fecha_de_vigencia;default
COTAS_EMBALSES;/api/v2/recursos/cotas_embalses;fecha;cotas
COTAS_MAXIMAS_MINIMAS;/api/v2/recursos/cotas_embalses_maximas_minimas;nombre_embalse;default
COTAS_AFLUENTES_EMBALSES_PROGRAMADO;/api/v2/recursos/cotas_afluentes_embalses_programado;fecha;default
DEMANDA_SISTEMA_REAL;/api/v2/recursos/demanda_sistema_real;fecha;dxReal
DEMANDA_MAXIMA_COINCIDENTE_SISTEMAS_ZONALES;/api/v2/recursos/demanda_maxima_coincidente_sistemas_zonales;año;default
DEMANDA_PROGRAMADA;/api/v2/recursos/demanda_programada_barra;año;default
DP_LLAVES;/api/v2/recursos/demanda_programada_llaves;llave_id;default
DP_SISTEMA;/api/v2/recursos/demanda_programada_sistema;fecha;dxProg
DEMANDA_PROYECTADA;/api/v2/recursos/demanda_proyectada;año;default
DESVIACION_LA_GENERACION_POR_GRUPO_REPORTE;/api/v2/recursos/desviacion_generacion_grupo_reporte;fecha;desviacion
ESTUDIOS_IMPACTO_AMBIENTAL;/api/v2/recursos/estudios_impacto_ambiental;mes;default
FLUJOS_ESPERADOS;/api/v2/recursos/flujos_esperados;mes;default
GENERACION_CENTRALES;/api/v2/recursos/generacion_centrales;fecha;gxReal
GENERACION_PROGRAMADA;/api/v2/recursos/generacion_programada;fecha;default
GP_LLAVES;/api/v2/recursos/generacion_programada_llaves;key_id;default
GP_SISTEMA;/api/v2/recursos/generacion_programada_sistema;fecha;default
GP_POLITICAS;/api/v2/recursos/generacion_programada_politicas;;default
INYECCIONES_POR_BARRA;/api/v2/recursos/inyecciones_barra;fecha;default
NIVELES_CORTOCIRCUITO_ESPERADOS;/api/v2/recursos/niveles_cortocircuito_esperados;año;default
NUMERO_FALLAS_ENERGIA_NO_SUMINISTRADA;/api/v2/recursos/energia_no_suministrada;fecha;default
PLANES_OBRAS_GENERACION;/api/v2/recursos/plan_obras_generacion;año;default
POTENCIA_TRANSITADA_POR_LINEAS;/api/v2/recursos/potencia_transitada;fecha;potLinea
PROGRAMAS_MANTENIMIENTO;/api/v2/recursos/programas_de_mantenimiento;fecha_actualización;default
PROGRAMAS_RESERVAS;/api/v2/recursos/programas_de_reservas;mes;default
RETIROS_POR_BARRA;/api/v2/recursos/retiros_barras;fecha;retiros
SERVIDUMBRES;/api/v2/recursos/valorizacion_suelos_servidumbre;servidumbre_mnemotecnico;default
TABLA_CONVERSION_DOLAR-PESO;/api/v2/recursos/dolar_peso;fecha;default
TERRENOS;/api/v2/recursos/valorizacion_suelos_terrenos;terreno_mnemotecnico;default
TRANSFERENCIA_ENERGIA;/api/v2/recursos/transferencia_energia;mes;transf
TRANSFERENCIA_POTENCIA;/api/v2/recursos/transferencia_potencia;mes;transf
